account,Fear,Neutral,Greed,best_regime
0x083384f897ee0f19899168e3b1bec365f52a9012,1238142.768956,125650.11674,236436.934283,Fear
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,-5893.889851999999,-11933.080125,65712.290491,Greed
0x271b280974205ca63b716753467d5a371de622ab,46828.795402,-19038.340561,-98226.646159,Fear
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,-12243.487425,5505.749364,139202.552615,Greed
0x2c229d22b100a7beb69122eed721cee9b24011dd,15394.438559,42292.843076,110970.723359,Greed
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-57434.884669,-1228.907104,27460.191787,Greed
0x39cef799f8b69da1995852eea189df24eb5cae3c,-21494.473744000003,10953.24796,24998.14512,Greed
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,4367.112673,8019.163096,41109.971474000005,Greed
0x420ab45e0bd8863569a5efbb9c05d91f40624641,109109.360637,74293.663505,16102.56859,Fear
0x430f09841d65beb3f27765503d0f850b8bce7713,5615.052102,58961.37973,351965.440509,Greed
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,-4527.9582900000005,4029.241688,103842.432763,Greed
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,463478.122344,97380.090931,116888.83736800001,Fear
0x4f93fead39b70a1824f981a54d4e55b278e9f760,55220.388542,45514.323221,208241.157953,Greed
0x513b8629fe877bb581bf244e326a047b249c4ff1,296044.39622,381330.49405,163047.664946,Neutral
0x6d6a4b953f202f8df5bed40692e7fd865318264a,4077.617669,1258.120923,103395.47818,Greed
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,-24239.752261,0.0,453595.31817600003,Greed
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,343414.90621,-4526.698469,21651.302288,Fear
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,75037.113718,-2605.9564710000004,306664.249464,Greed
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,7259.374451,-395.0559780000001,8036.124574,Greed
0x8170715b3b381dffb7062c0298972d4727a0a63b,164006.22599,47610.460743999996,-379237.811515,Fear
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,-4567.0810280000005,12960.109958,57120.628976,Greed
0x8477e447846c758f5a675856001ea72298fd9cb5,11073.794334,808.3427170000001,32034.871925,Greed
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,2804.4158899999998,0.0,123774.526244,Greed
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,13945.728288,9467.021637,82890.125331,Greed
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,-17680.962221,-53.631353999999995,90581.07784700001,Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,8751.751449,0.0,59093.868082,Greed
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,14542.702934,7157.683579,58.44524,Fear
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,102710.06749100001,401309.434693,1639363.095505,Greed
0xb899e522b5715391ae1d4f137653e7906c5e2115,18470.551893,4017.948928,0.0,Fear
0xbaaaf6571ab7d571043ff1e313a9609a10637864,882790.353636,57368.780126,4.672458,Fear
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,274510.251146,-90302.553718,36311.364425,Fear
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,86752.889088,27116.682664,722210.9813250001,Greed
